compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,nspecies
B3Mg1,aflow:00cc032d65b23a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/69,166,hR4,"['B', 'Mg']",2
B4Mg2,aflow:02cc1bd8affd16ae,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/140,12,mS12,"['B', 'Mg']",2
B1Mg5,aflow:04993233df287621,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/252,216,cF24,"['B', 'Mg']",2
B1Mg2,aflow:0522c21699f6160f,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/390,123,tP3,"['B', 'Mg']",2
B3Mg1,aflow:06e000e3dfa7f1a6,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/26,221,cP4,"['B', 'Mg']",2
B7Mg6,aflow:0cc480408f59af4c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/613,166,hR13,"['B', 'Mg']",2
B4Mg2,aflow:0d34f75d8bfe3ae7,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/476,191,hP3,"['B', 'Mg']",2
B2Mg4,aflow:0dc1bf12a4577363,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/234,140,tI12,"['B', 'Mg']",2
B1Mg3,aflow:0dead30f9e4daf3a,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/84,225,cF16,"['B', 'Mg']",2
B1Mg3,aflow:0e54cf897161c5a2,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/13,123,tP4,"['B', 'Mg']",2
B4Mg2,aflow:0ec6d7c681e7b2ec,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/539,12,mS12,"['B', 'Mg']",2
B28Mg4,aflow:0ff128f86aa02a78,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B7Mg1_ICSD_261234,74,oI64,"['B', 'Mg']",2
B1Mg4,aflow:13d6d9dea258ceeb,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/202,139,tI10,"['B', 'Mg']",2
B1Mg3,aflow:137c05f64299cd85,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/82,221,cP4,"['B', 'Mg']",2
B2Mg2,aflow:1465604b7bf98c6f,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/120,51,oP4,"['B', 'Mg']",2
B2Mg4,aflow:1478d09a2eadbf28,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/147,69,oF12,"['B', 'Mg']",2
B3Mg1,aflow:1557ff34d66462bd,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/541,71,oI8,"['B', 'Mg']",2
B1Mg3,aflow:16266c2967eb5072,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/19,123,tP4,"['B', 'Mg']",2
B1Mg1,aflow:19d6ec62450aaafc,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/61,221,cP2,"['B', 'Mg']",2
B4Mg2,aflow:1df296ebd052995b,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/283,141,tI12,"['B', 'Mg']",2
B1Mg4,aflow:1ea75f4a6b073ff2,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/285,87,tI10,"['B', 'Mg']",2
B2Mg1,aflow:1eff4c60c028529d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_96706,191,hP3,"['B', 'Mg']",2
B1Mg1,aflow:21114a3635ea4f5a,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/116,187,hP2,"['B', 'Mg']",2
B2Mg1,aflow:21ce6b6bac34f308,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/6,139,tI6,"['B', 'Mg']",2
B2Mg1,aflow:24e85ffee910a5f1,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/63,191,hP3,"['B', 'Mg']",2
B6Mg2,aflow:240ad1d192e37bd1,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/185,223,cP8,"['B', 'Mg']",2
B8Mg4,aflow:258fa48850d77a27,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/179,194,hP12,"['B', 'Mg']",2
B2Mg2,aflow:25b6828350dc1b7c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/14,129,tP4,"['B', 'Mg']",2
B1Mg2,aflow:27e34295ad946875,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/548,139,tI6,"['B', 'Mg']",2
B1Mg3,aflow:28698c7a4ef12281,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/125,187,hP4,"['B', 'Mg']",2
B4Mg2,aflow:28a586560c918d8b,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/273,194,hP6,"['B', 'Mg']",2
B2Mg1,aflow:2a53c555add301b7,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/8,71,oI6,"['B', 'Mg']",2
B4Mg2,aflow:2ac2cc83dd458e57,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/189,63,oS12,"['B', 'Mg']",2
B2Mg1,aflow:2ca5e61d6888c369,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/65,69,oF12,"['B', 'Mg']",2
B2Mg1,aflow:2d59188582cccb33,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/547,139,tI6,"['B', 'Mg']",2
B2Mg1,aflow:2f8ee6e2847fb3b8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_96703,191,hP3,"['B', 'Mg']",2
B3Mg1,aflow:30aabb3b48b8fe87,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/15,123,tP4,"['B', 'Mg']",2
B6Mg6,aflow:3149e8cc44907844,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/537,166,hR4,"['B', 'Mg']",2
B1Mg3,aflow:31507caa98915183,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/25,221,cP4,"['B', 'Mg']",2
B3Mg1,aflow:3335c54219ebf51d,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/78,123,tP4,"['B', 'Mg']",2
B1Mg2,aflow:35ef05a738f98a62,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/9,164,hP3,"['B', 'Mg']",2
B2Mg2,aflow:35a4317edc999750,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/292,123,tP2,"['B', 'Mg']",2
B3Mg1,aflow:372f21c264152ba1,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/121,99,tP4,"['B', 'Mg']",2
B1Mg1,aflow:3a39710d4403eec3,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/3,123,tP2,"['B', 'Mg']",2
B2Mg1,aflow:3bb6aff29335dcf8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_26675,191,hP3,"['B', 'Mg']",2
B2Mg1,aflow:3c0d2d28530a97b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_153657,191,hP3,"['B', 'Mg']",2
B2Mg1,aflow:3db54f36ed126fce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_94257,191,hP3,"['B', 'Mg']",2
B2Mg2,aflow:3e0f6494b0887580,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/192,63,oS8,"['B', 'Mg']",2
B2Mg2,aflow:3e7e4bdf16a54268,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/20,59,oP4,"['B', 'Mg']",2
B4Mg4,aflow:3f62c1822fd74775,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/408,194,hP8,"['B', 'Mg']",2
B4Mg2,aflow:3fb674873248b3f2,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/268,71,oI6,"['B', 'Mg']",2
B2Mg4,aflow:403ce3711283e886,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/540,12,mS12,"['B', 'Mg']",2
B2Mg4,aflow:415ebc0814f84af4,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/150,63,oS12,"['B', 'Mg']",2
B1Mg1,aflow:41b3f291ff574622,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/201,225,cF8,"['B', 'Mg']",2
B1Mg5,aflow:429a554a5809b1ab,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/141,38,oS12,"['B', 'Mg']",2
B5Mg3,aflow:43c18edea03be7cb,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/376,65,oS16,"['B', 'Mg']",2
B2Mg1,aflow:44c4cea12084edbc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_186389,191,hP3,"['B', 'Mg']",2
B1Mg2,aflow:491fa35c3520b93f,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/657.BA,139,tI6,"['B', 'Mg']",2
B4Mg2,aflow:4927ade1c3ed0756,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/235,123,tP3,"['B', 'Mg']",2
B2Mg1,aflow:4b69e6038502f8f3,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/657.AB,71,oI6,"['B', 'Mg']",2
B3Mg1,aflow:4c199fa89b1b5b52,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/127,187,hP4,"['B', 'Mg']",2
B1Mg2,aflow:4f7e93ecf053cbd8,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/5,139,tI6,"['B', 'Mg']",2
B1Mg7,aflow:4f396289df6f3900,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/B_hMg_pv/309,225,cF32,"['B', 'Mg']",2
B2Mg1,aflow:4f608c509f24980c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_96705,191,hP3,"['B', 'Mg']",2
