,material_id,formula_pretty,spacegroup,formation_energy_per_atom,band_gap,energy_above_hull,total_magnetization,ordering,total_magnetization_normalized_formula_units,num_magnetic_sites,theoretical,Magmom_per_B
308,mp-1105617,TcB4,P6_3/mmc,0.3676202911666664,0.0,0.6320027178333358,1.904904,FM,0.476226,4,True,0.1190565
309,mp-12762,PrB6,Pm-3m,-0.4832379414285707,0.0,0.0,0.0,NM,0.0,0,False,0.0
310,mp-27658,Li5B4,R3m,0.5057422929629634,0.0,0.6531392318518514,0.0009089,NM,0.0009089,0,False,0.000227225
311,mp-568384,ScB2,Fd-3m,0.0688057322222235,0.0,0.9076439600000006,0.0012655,NM,0.00063275,0,False,0.000316375
312,mp-568319,DyB6,Pm-3m,-0.4001028407142856,0.0,0.035523241249999,0.0,NM,0.0,0,False,0.0
313,mp-1245193,BN,P1,-0.6450635241833333,0.2781,0.8163165053999997,2.0033108,FM,0.040066216,1,True,0.040066216
314,mp-568143,TmB4,P4/mbm,-0.5780460971666663,0.0,0.0,0.0,NM,0.0,0,False,0.0
315,mp-889,Cr3B4,Immm,-0.4602709238095234,0.0,0.0167097100000006,0.0005884,NM,0.0005884,0,False,0.0001471
316,mp-1245270,B2O3,P1,-2.670249095416666,4.4806,0.1285705908333341,0.0,NM,0.0,0,True,0.0
317,mp-1183440,BiB,P6_3mc,0.8108499079166673,0.0,0.8108499079166673,0.0015105,NM,0.00075525,0,True,0.00075525
318,mp-866066,B2S3,R-3c,-0.6305787145416666,1.5315,0.1047856845600003,0.0174642,NM,0.0087321,0,True,0.00436605
319,mp-999198,BMo,Cmcm,-0.4922973570833324,0.0,0.0099374624999999,0.0,NM,0.0,0,False,0.0
320,mp-1018649,BC5,P3m1,0.2586731855555548,0.0,0.2795783708680606,0.0009395,NM,0.0009395,0,True,0.0009395
321,mp-1206441,V5B6,Cmmm,-0.8301574040909091,0.0,0.0,0.0,NM,0.0,0,True,0.0
322,mp-1228684,B2Pt3,Cm,-0.0993293256666667,0.0,0.058685564083337,0.0002082,NM,0.0002082,0,True,0.0001041
323,mp-8079,B5W2,R-3m,0.2489101163095252,0.0,0.5342900301190454,0.014269,NM,0.014269,0,False,0.0028538
324,mp-634117,BH3,P2_1/c,-0.1642576716666663,5.3252,0.0,0.0,NM,0.0,0,False,0.0
325,mp-20517,BPd3,Pnma,-0.2580220141666665,0.0,0.0,0.0,NM,0.0,0,False,0.0
326,mp-2847,ErB4,P4/mbm,-0.5858285723333332,0.0,0.0,0.0,NM,0.0,0,False,0.0
327,mp-1226275,Cr4B,F222,0.0800526961666676,0.0,0.3031366165000033,0.0009259,NM,0.00046295,0,True,0.00046295
328,mp-1201949,B5H4,I4_1/acd,0.1727089988657408,2.8736,0.3254411478556482,0.0,NM,0.0,0,False,0.0
329,mp-262,Na3B20,Cmmm,-0.0603943514342824,0.0,0.0,0.0,NM,0.0,0,False,0.0
330,mp-1201287,CuB5,Pbca,0.4156976961111122,0.0,0.4156976961111125,0.0004063,NM,2.539375e-05,0,True,5.07875e-06
331,mp-7283,LaB4,P4/mbm,-0.564821469333333,0.0,0.0,0.0002999,NM,7.4975e-05,0,False,1.874375e-05
332,mp-1227634,Be4B25,P2/c,0.2104308248563215,0.0,0.2133130901724129,0.0006228,NM,0.0003114,0,True,1.2456e-05
333,mp-1014138,ZrB,P-6m2,-0.4094427120833339,0.0,0.3310758024999991,6.6e-06,NM,3.3e-06,0,True,3.3e-06
334,mp-8365,MnB,Pnma,-0.5004360872988514,0.0,0.0,8.3465466,FM,2.08663665,4,False,2.08663665
335,mp-22319,UB12,Fm-3m,-0.2736273769230767,0.0,0.0,0.0,NM,0.0,0,False,0.0
336,mp-242,SrB6,Pm-3m,-0.4503817230952376,0.0,0.0,0.0,NM,0.0,0,False,0.0
337,mp-1001602,B12W,Fm-3m,0.2055303123076922,0.0,0.2823633660256464,6.17e-05,NM,6.17e-05,0,True,5.141666666666666e-06
338,mp-569281,HoB4,P4/mbm,-0.5915577948333322,0.0,0.0,0.0,NM,0.0,0,False,0.0
339,mp-1056860,NaB,Fm-3m,1.8575636371408049,0.0,1.8922903892155176,0.0363243,NM,0.0363243,0,False,0.0363243
340,mp-1994,HfB2,P6/mmm,-1.0178862927777768,0.0,0.0,1e-07,NM,1e-07,0,False,5e-08
341,mp-1106180,Re7B3,P6_3mc,-0.2220307207499999,0.0,0.008299404299997,1e-07,NM,5e-08,0,False,1.6666666666666667e-08
342,mp-23256,BCl,P2_12_12_1,-0.8562718572395829,0.8387,0.0994781992881916,0.0,NM,0.0,0,False,0.0
343,mp-2617,B2Pd5,C2/c,-0.2551906590476187,0.0,0.0063125589285712,0.0,NM,0.0,0,False,0.0
344,mp-30529,B5H11,P2_1/c,-0.158707534739583,4.6651,0.022194208657666,0.0025558,NM,0.00063895,0,False,0.00012779
345,mp-20373,Co3B,Pnma,-0.1832344897916664,0.0,0.0178043375000003,14.2613752,FM,3.5653438,12,False,3.5653438
346,mp-1245057,B2O3,P1,-2.6520142217166667,4.2258,0.1468054645333332,2.56e-05,NM,1.28e-06,0,True,6.4e-07
347,mp-1008487,BW,Cmcm,-0.3561958470833328,0.0,0.0114792587499987,1e-07,NM,5e-08,0,False,5e-08
348,mp-15617,Cr5B3,I4/mcm,-0.4156522671874985,0.0,0.0,3e-07,NM,1.5e-07,0,False,5e-08
349,mp-23189,BI3,P6_3/m,-0.3853295497916664,2.6901,0.0,0.0,NM,0.0,0,False,0.0
350,mp-1245228,BN,P1,-0.7952020421833333,1.7402,0.6661779874000011,0.0029797,NM,5.9594e-05,0,True,5.9594e-05
351,mp-706630,B5H7,P2/c,-0.1872279005902779,3.3929,0.0,0.0,NM,0.0,0,False,0.0
352,mp-567164,BRh,P6_3/mmc,-0.3779623545833326,0.0,0.0,1e-07,NM,5e-08,0,False,5e-08
353,mp-425,GdB2,P6/mmm,-0.4772311927777768,0.0,0.0683296773333328,7.2331512,FM,7.2331512,1,False,3.6165756
354,mp-1245025,B2O3,P1,-2.7356498717166664,4.1254,0.0631698145333334,0.0011737,NM,5.8685e-05,0,True,2.93425e-05
355,mp-1214789,BSe2,P2_1/c,-0.4484155883680548,1.7712,0.0,0.0,NM,0.0,0,True,0.0
356,mp-1106065,B3Rh7,P6_3mc,-0.2353988947499999,0.0,0.005400458749996,4.7e-06,NM,2.35e-06,0,False,7.833333333333333e-07
357,mp-570034,ErB4,P4/mbm,0.5393212096666666,0.0,1.1251497819999994,0.007432,NM,0.001858,0,True,0.0004645
358,mp-1079812,B9N,I4/mmm,2.234558678250001,0.0,2.526834684166669,2.2363621,FiM,2.2363621,2,False,0.2484846777777777
359,mp-1001788,ZrB6,Pm-3m,-0.0208770164285709,0.0,0.4022764204761913,0.0068807,NM,0.0068807,0,True,0.0011467833333333
360,mp-1008755,SrB2,P6/mmm,0.1822453450000007,0.0,0.5325422407407405,0.000755,NM,0.000755,0,True,0.0003775
361,mp-1078935,BC7,P-4m2,0.1996976422916656,0.0,0.2153765312760409,0.0037423,NM,0.0037423,0,True,0.0037423
362,mp-1009695,CaB2,P6/mmm,-0.1337176361111106,0.0,0.1920297424999999,4.08e-05,NM,4.08e-05,0,True,2.04e-05
363,mp-10141,SmB2,P6/mmm,-0.3899438077777783,0.0,0.1277652823333328,0.0013874,NM,0.0013874,0,False,0.0006937
364,mp-1189298,YbB4,P4/mbm,-0.4692663163333329,0.0,0.0,0.0,NM,0.0,0,False,0.0
365,mp-2719,DyB4,P4/mbm,-0.5964320543333329,0.0,0.0,0.0,NM,0.0,0,False,0.0
366,mp-1194572,Co5B16,Pmma,-0.1616490150793643,0.0,0.0298165347222223,0.0309477,NM,0.01547385,0,False,0.000967115625
367,mp-1001600,HfB12,Fm-3m,-0.1933358807692302,0.0,0.0415609560256413,0.0,NM,0.0,0,False,0.0
368,mp-978275,MgB7,C2/m,-0.1305705333333326,1.4592,0.0,0.0,NM,0.0,0,False,0.0
369,mp-16762,PrB3,P6_3/mmc,-0.0323833418749996,0.0,0.4788088281249996,7.46e-05,NM,3.73e-05,0,True,1.2433333333333332e-05
370,mp-8035,B4C,R-3m,0.9522772345000002,0.0,1.052622124,1.8e-06,NM,6e-07,0,True,1.5e-07
371,mp-1228682,BPd4,Pmm2,0.0081223821666668,0.0,0.2419539392499938,0.0015063,NM,0.0015063,0,True,0.0015063
372,mp-17535,B3Ru7,P6_3mc,-0.1376103792499989,0.0,0.0282288739999998,1e-07,NM,5e-08,0,False,1.6666666666666667e-08
373,mp-1080525,FeB,I4_1/amd,-0.3795468670833326,0.0,0.0,8.6051689,FM,2.151292225,4,True,2.151292225
374,mp-28629,Ta5B6,Cmmm,-0.7847906095454547,0.0,0.0028053090909097,0.0,NM,0.0,0,False,0.0
375,mp-1632,NdB4,P4/mbm,-0.5615429838333327,0.0,0.0,0.0,NM,0.0,0,False,0.0
376,mp-1185180,Li3B,I4/mmm,0.3734390677083334,0.0,0.4563498458333335,0.0005798,NM,0.0005798,0,True,0.0005798
377,mp-23225,BBr3,P6_3/m,-0.9904460797916664,3.8273,0.0,0.0,NM,0.0,0,False,0.0
378,mp-978496,SiB4,R-3m,0.2494394440000008,0.0,0.2816218045000003,8.7e-06,NM,2.9e-06,0,True,7.249999999999999e-07
379,mp-2850,B2Os,Pmmn,-0.2130012044444432,0.0,0.0,0.0,NM,0.0,0,False,0.0
380,mp-1072852,CdB2,Pn-3m,2.572591197222222,0.0,2.572591197222218,0.0005365,NM,0.00026825,0,False,0.000134125
381,mp-1184565,GeB,P6_3mc,0.5502172629166671,0.0,0.5502172629166671,0.0006657,NM,0.00033285,0,True,0.00033285
382,mp-571655,B4C,R-3m,0.8014824678333335,0.0,0.9018273573333336,6.97e-05,NM,2.3233333333333333e-05,0,True,5.808333333333333e-06
383,mp-1095030,BC7,P-43m,0.2660395097916659,0.0,0.2817183987760412,0.0003603,NM,0.0003603,0,True,0.0003603
384,mp-1228652,B8O,Pm,-0.6038172665277778,2.3696,0.0226472366666667,0.0,NM,0.0,0,True,0.0
385,mp-1228687,B4Mo,P6/mmm,-0.0010681619999994,0.0,0.2579644106666707,0.0007169,NM,0.0002389666666666,0,True,5.974166666666667e-05
386,mp-542573,ThB4,P4/mbm,-0.6214714853333334,0.0,0.0,0.0,NM,0.0,0,False,0.0
387,mp-27876,B2H3,Pbca,-0.1516450682916662,3.0157,0.0345706471477056,0.0,NM,0.0,0,False,0.0
388,mp-1773,ReB2,P6_3/mmc,-0.4278498027777774,0.0,0.0,2.3e-06,NM,1.15e-06,0,False,5.75e-07
389,mp-1006223,GdB12,Fm-3m,-0.2419709161538452,0.0,0.0039014103846151,6.8851766,FM,6.8851766,1,False,0.5737647166666667
390,mp-374,CrB2,P6/mmm,-0.3398751761111107,0.0,0.0671251616666577,1.0056622,FM,1.0056622,1,False,0.5028311
391,mp-944,AlB2,P6/mmm,-0.0429882227777772,0.0,0.0101366112000071,1e-07,NM,1e-07,0,False,5e-08
392,mp-1183231,BRu3,P6_3/mmc,0.4660160402083342,0.0,0.6042154179166701,0.20996,NM,0.10498,0,True,0.10498
393,mp-1245281,BN,P1,-0.6260700361833336,0.0544,0.835309993400001,0.0001884,FiM,3.768e-06,2,True,3.768e-06
394,mp-10044,BAs,F-43m,-0.0189601420833325,1.2036999999999995,0.0803897675000024,0.0015859,NM,0.0015859,0,False,0.0015859
395,mp-1222413,LiB3,P4/mbm,-0.2370529764583322,0.0918999999999998,0.0,0.0,NM,0.0,0,True,0.0
396,mp-570938,B5W2,P6_3/mmc,0.2635983670238104,0.0,0.5489782808333299,0.0021428,NM,0.0010714,0,False,0.00021428
397,mp-13862,B13P2,R-3m,0.6871418782777785,0.0,0.958047636722224,0.0001105,NM,0.0001105,0,False,8.5e-06
398,mp-567415,Nd2B5,C2/c,-0.5148668047619042,0.0,0.0,3.68e-05,NM,9.2e-06,0,False,1.84e-06
399,mp-23316,BCl2,Pbca,-1.1580385080555555,2.9183,0.1162949006481461,0.0006127,NM,7.65875e-05,0,False,7.65875e-05
400,mp-450,NbB2,P6/mmm,-0.6938497461111103,0.0,0.0,3.7e-06,NM,3.7e-06,0,False,1.85e-06
401,mp-1103394,LiB11,F-43m,0.7958067538194449,0.0,0.8748244126388887,0.000903,NM,0.000903,0,True,8.20909090909091e-05
402,mp-978917,Sn3B,Fm-3m,0.9366946689583332,0.0,0.9366946689583332,0.0005097,NM,0.0005097,0,True,0.0005097
403,mp-1214755,BPd6,C2/c,-0.199356785595238,0.0,0.0,2e-07,NM,1e-07,0,True,1e-07
404,mp-1010,MnB4,Immm,-0.2720139549195394,0.0,0.0175701250000006,0.6392426,FM,0.6392426,1,False,0.15981065
405,mp-1145,TiB2,P6/mmm,-1.0556684605555553,0.0,0.0,0.0,NM,0.0,0,False,0.0
406,mp-1194531,Fe2B7,Pbam,-0.1900435393518509,0.0,0.0073210441666713,3.7030644,FiM,0.46288305,16,False,0.06612615
407,mp-1106184,MnB4,P2_1/c,-0.2895840799195397,0.0053,0.0,0.0,NM,0.0,0,False,0.0
408,mp-1244872,BN,P1,-0.8198389496833329,1.5766,0.6415410799000014,0.0014823,NM,2.9646e-05,0,True,2.9646e-05
409,mp-976080,Ge3B,P6_3/mmc,0.9860718652083332,0.0,0.9860718652083332,0.000944,NM,0.000472,0,True,0.000472
410,mp-1214764,BO3,P-1,-0.9156837438541664,0.0,0.833578560052084,12.0008587,FM,3.000214675,12,True,3.000214675
411,mp-960,B2Mo,P6/mmm,-0.2756160227777767,0.0,0.1561049316666665,3.3e-06,NM,3.3e-06,0,False,1.65e-06
412,mp-1974,CeB4,P4/mbm,-0.6277463433333338,0.0,0.0,2.9e-05,NM,7.25e-06,0,False,1.8125e-06
413,mp-644751,BN,Pnma,-1.1891388545833337,5.7747,0.2722411749999995,1.64e-05,NM,4.1e-06,0,True,4.1e-06
414,mp-1213975,CaB4,P4/mbm,-0.390896854333333,0.0,0.0,0.0,NM,0.0,0,True,0.0
415,mp-936302,B4C,P1,1.2731590240238095,0.0,1.3735039135238098,0.0014694,NM,0.0001049571428571,0,True,2.6239285714285717e-05
416,mp-27864,BF2,P2_1/c,-2.645448288055555,4.8986,0.1210680164814848,0.0013116,NM,0.0003279,0,False,0.0003279
417,mp-1183149,BAu,P6_3mc,0.8404483029166672,0.0,0.8404483029166672,0.0008966,NM,0.0004483,0,True,0.0004483
418,mp-1079661,BC7,R3m,0.2299829685416661,0.0,0.2456618575260414,0.0022091,NM,0.0022091,0,True,0.0022091
419,mp-569404,Ni4B3,C2/c,-0.2784035796428564,0.0,0.0016959778571434,0.0,NM,0.0,0,False,0.0
420,mp-1080111,B3Mo,R-3m,-0.315406023125,0.0,0.0083846927083328,0.0,NM,0.0,0,True,0.0
421,mp-1096955,EuB12,Fm-3m,-0.15402912076923,0.0,0.1024923011538465,6.7566041,FM,6.7566041,1,True,0.5630503416666667
422,mp-558149,BF3,P2_1/c,-3.112330842604166,8.2939,0.0,0.0,NM,0.0,0,False,0.0
423,mp-7839,ReB3,P6_3/mmc,0.7502217281250001,0.0,1.0711090802083325,0.0012784,NM,0.0006392,0,False,0.0002130666666666
424,mp-345,HfB,Fm-3m,-0.413497644583332,0.0,0.3499170750000004,0.0009076,NM,0.0009076,0,False,0.0009076
425,mp-1432,Be2B,Fm-3m,0.0407184469444447,0.0,0.0546493959722225,0.0,NM,0.0,0,False,0.0
426,mp-555170,B12S,R-3m,0.3171853305288469,0.0,0.411462817593164,0.001378,NM,0.001378,0,False,0.0001148333333333
427,mp-30936,B5F6,I4_1/a,-2.094609408484849,3.2308000000000003,0.168903931590906,0.0009379,NM,0.000234475,0,False,4.6895e-05
428,mp-1244917,BN,P1,-0.5451878917833335,1.1992000000000005,0.9161921377999996,0.0006929,NM,1.3858e-05,0,True,1.3858e-05
429,mp-1182499,B5I,C2/c,0.5663158694444448,0.0994999999999999,0.6519446582870358,0.0007378,NM,0.00018445,0,True,3.689e-05
430,mp-975611,Ge3B,Pm-3m,1.0085106289583337,0.0,1.0085106289583337,0.0004626,NM,0.0004626,0,True,0.0004626
431,mp-571491,HoB6,Pm-3m,-0.3834221107142852,0.0,0.0500425861607132,0.0,NM,0.0,0,False,0.0
432,mp-29611,B5H8,Pna2_1,-0.152577018044872,5.4267,0.0327043726398503,0.000129,NM,1.6125e-05,0,False,3.225e-06
433,mp-7832,BW,I4_1/amd,-0.3676751058333316,0.0,0.0,1e-07,NM,2.5e-08,0,False,2.5e-08
434,mp-1023515,Mg15B,P-6m2,0.1821089100520836,0.0,0.1943297190625001,0.004298,NM,0.004298,0,True,0.004298
435,mp-2580,NbB,Cmcm,-0.7696387770833333,0.0,0.0,9e-07,NM,4.5e-07,0,False,4.5e-07
436,mp-1245231,BN,P1,-0.8021801996833335,1.6715,0.6591998299000004,0.0028522,NM,5.7044e-05,0,True,5.7044e-05
437,mp-973682,Fe3B,Pnma,-0.2134626291666652,0.0,0.0171574543750008,24.1709616,FM,6.0427404,12,False,6.0427404
438,mp-1181327,Fe3B,I-4,-0.2016396947916661,0.0,0.0289803887499999,23.881261,FM,5.97031525,12,False,5.97031525
439,mp-1214978,BRu,Pmma,0.818222652916667,0.0,1.09462140833333,0.0065259,NM,0.001631475,0,True,0.001631475
440,mp-571352,TmB6,Pm-3m,-0.347129741666666,0.0,0.0793173577678576,5.1e-06,NM,5.1e-06,0,False,8.5e-07
441,mp-20874,EuB6,Pm-3m,-0.4763969264285715,0.0,0.0,6.8878978,FM,6.8878978,1,False,1.1479829666666668
442,mp-260,CrB,Cmcm,-0.5201766645833334,0.0,0.0092891912499997,1.1e-06,NM,5.5e-07,0,False,5.5e-07
443,mp-1077125,BC5,I-4m2,0.2294174222222219,0.0,0.2503226075347271,0.0062508,NM,0.0062508,0,True,0.0062508
444,mp-632822,Li5B4,Cm,0.1994958074074075,0.0,0.3468927462962954,0.0008192,NM,0.0008192,0,True,0.0002048
445,mp-1096844,BiB6,Pm-3m,0.3322086335714291,0.0,0.3322086335714296,0.0183745,NM,0.0183745,0,True,0.0030624166666666
446,mp-344,BN,Cc,-1.2419457895833332,3.5767,0.21943424,4.01e-05,NM,1.0025e-05,0,True,1.0025e-05
447,mp-567944,BCl,P4_2/nmc,-0.6746260839583336,3.3203,0.281123972569441,0.0021049,NM,0.0002631125,0,False,0.0002631125
448,mp-1025156,NpB6,Pm-3m,-0.2690023433928569,0.0,0.0546950408928177,4.1897007,FM,4.1897007,1,False,0.69828345
449,mp-1228676,B8P,Cm,-0.0751271533333324,0.1845999999999996,0.1506276453703696,1.0007424,FM,0.3335808,1,True,0.0416976
450,mp-1104598,ErB12,Fm-3m,-0.2515306661538458,0.0,0.0,0.0,NM,0.0,0,False,0.0
451,mp-865,CaB6,Pm-3m,-0.4078072207142855,0.0,0.0,0.0,NM,0.0,0,False,0.0
452,mp-419,YbB6,Pm-3m,-0.4603767792857129,0.0,0.0,0.0,NM,0.0,0,False,0.0
453,mp-1205212,B2F3,P2/c,-2.321473403604166,2.4177,0.1683912704791677,7.9e-06,NM,1.234375e-07,0,False,6.171875e-08
454,mp-1184483,In3B,Pm-3m,0.9006224002083334,0.0,0.9006224002083334,0.0007015,NM,0.0007015,0,True,0.0007015
455,mp-999118,TcB,P6_3/mmc,-0.1217665245833341,0.0,0.2633662390909119,0.0055944,NM,0.0027972,0,True,0.0027972
456,mp-20962,Ni23B6,Fm-3m,-0.1917367460344831,0.0,0.0257919503448285,0.1910406,FiM,0.1910406,3,True,0.0318401
457,mp-1182537,B9C,I4/mmm,2.524015400000001,0.0576000000000007,2.5776902612083337,2.995634,FM,2.995634,2,False,0.3328482222222222
458,mp-570421,Sm2B5,P2_1/c,-0.5546883108333337,0.0,0.0,1e-07,NM,2.5e-08,0,False,5e-09
459,mp-1491,VB2,P6/mmm,-0.7388496561111116,0.0,0.0,2.8e-06,NM,2.8e-06,0,False,1.4e-06
460,mp-1001831,LiB,Fd-3m,0.2137115762499997,1.7264999999999997,0.3795331324999997,1.1e-05,NM,5.5e-06,0,True,5.5e-06
461,mp-1181765,CuB5,Pbca,0.3846316811111118,0.0,0.3846316811111121,0.0011627,NM,7.266875e-05,0,True,1.453375e-05
462,mp-1599,BN,Cm,-1.323430465833333,1.5671,0.1379495637500003,2.3e-06,NM,5.75e-07,0,True,5.75e-07
463,mp-1222002,MgB3,P4/mmm,0.3379268356249998,0.0,0.4735807987499996,0.0011368,NM,0.0005684,0,True,0.0001894666666666
