material_id,formula_pretty,spacegroup,formation_energy_per_atom,band_gap,energy_above_hull,total_magnetization,ordering,total_magnetization_normalized_formula_units,num_magnetic_sites,theoretical,Magmom_per_B
mp-1199460,BCl,Pa-3,-0.9443372933333324,0.0,0.011412763194441844,0.5917384,NM,0.012327883333333333,0,False,0.012327883333333333
mp-997618,BSb,F-43m,0.27397275041666713,0.7506000000000004,0.27397275041666713,0.0002022,NM,0.0002022,0,True,0.0002022
mp-1228647,B3Ir2,C2/m,-0.09955158949999969,0.0,0.060853226166674546,0.0010676,NM,0.0005338,0,True,0.0001779333333333333
mp-27757,Be4B,P4/nmm,-0.016717138833332968,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1183263,BOs3,P6_3/mmc,0.7774974827083323,0.0,0.8959248874999997,0.300262,FM,0.150131,2,True,0.150131
mp-1238837,BH,C2/c,-0.07468610395833271,0.0,0.09713756365530823,3.9975683,NM,0.16656534583333335,0,True,0.16656534583333335
mp-1059907,KB,Fm-3m,2.085555408916667,0.0,2.1009260204166664,6.89e-05,NM,6.89e-05,0,False,6.89e-05
mp-306,B2O3,P3_121,-2.79881968625,6.3017,0.0,0.0,NM,0.0,0,False,0.0
mp-1228811,B11Rh18,P1,-0.28767668968390875,0.0,0.016782263017242727,4e-07,NM,4e-07,0,True,3.636363636363636e-08
mp-20467,PuB4,Cmmm,-0.5052714868333326,0.0,0.0,19.5425668,FM,4.8856417,4,False,1.221410425
mp-696746,B4C,R-3m,-0.029008153499999405,1.5149,0.07133673600000101,0.0,NM,0.0,0,False,0.0
mp-685043,BBr,P1,-0.651382542916666,1.2319,0.008914843611108836,0.0,NM,0.0,0,True,0.0
mp-14019,NiB,Cmcm,-0.24213156458333263,0.0,0.0029555482291669932,0.0,NM,0.0,0,False,0.0
mp-1025149,Ti2B,I4/mcm,-0.3944021519444452,0.0,0.1603009763888883,0.0057288,NM,0.0028644,0,True,0.0028644
mp-633538,B9C,P1,0.3149633280000003,0.0,0.36863818920833324,0.0005278,NM,0.0002639,0,True,2.9322222222222223e-05
mp-15809,Cr2B,I4/mcm,-0.3709081797222211,0.0,0.0008983541666687245,0.0,NM,0.0,0,False,0.0
mp-534,B13N2,R-3m,-0.254207581944443,0.0,0.13549375927777962,0.9997988,FM,0.9997988,1,False,0.07690759999999999
mp-1186194,Np3B,Fm-3m,0.2933839511458327,0.0,0.44637181828124994,0.8125938,FM,0.8125938,1,True,0.8125938
mp-971859,Zn3B,I4/mmm,0.6166455127083335,0.0,0.6166455127083335,0.0002992,NM,0.0002992,0,True,0.0002992
mp-1189303,TaB4,P6_3/mmc,0.07037138466666733,0.0,0.4599013963333336,0.001409,NM,0.00035225,0,True,8.80625e-05
mp-984718,BAs,P6_3mc,-0.009832494583332796,1.1428000000000003,0.08951741500000221,9.05e-05,NM,4.525e-05,0,True,4.525e-05
mp-1479,BP,F-43m,-0.40748766124999936,1.2434999999999992,0.0,0.0,NM,0.0,0,False,0.0
mp-1188425,NpB4,Cmmm,-0.418896936083334,0.0,0.0,13.5489325,FM,3.387233125,4,False,0.84680828125
mp-1183296,BPb3,Cmcm,0.9857691827083337,0.0,0.9857691827083337,0.0129889,NM,0.00649445,0,True,0.00649445
mp-1247928,BCl,P1,-0.2390096365277772,0.030999999999999917,0.716740419999998,0.0005415,NM,3.0083333333333334e-05,0,True,3.0083333333333334e-05
mp-1019317,TcB2,P6_3/mmc,-0.4406373777777783,0.0,0.0,1e-07,NM,5e-08,0,False,2.5e-08
mp-978886,SnB,P6_3mc,0.7711706804166676,0.0,0.7711706804166676,0.0002744,NM,0.0001372,0,True,0.0001372
mp-1007881,FeB,Cmcm,-0.3736975395833326,0.0,0.005849327500000001,3.8281656,FM,1.9140828,2,False,1.9140828
mp-1105563,GdB4,P4/mbm,-0.5975773188333321,0.0,0.0,2e-07,AFM,5e-08,4,False,1.25e-08
mp-7857,TiB,Pnma,-0.8320546924999999,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1078278,CrB4,Pnnm,-0.30902792333333196,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1084,ZrB12,Fm-3m,-0.2119791638461532,0.0,0.015872686794872415,0.0,NM,0.0,0,False,0.0
mp-1077,B2Ru,Pmmn,-0.28590492444444376,0.0,0.0,2e-07,NM,1e-07,0,False,5e-08
mp-1016250,Mg3B,Pmm2,0.6071130627083332,0.0,0.6559962987499999,1.15e-05,NM,1.15e-05,0,True,1.15e-05
mp-569376,FeB2,P6/mmm,-0.05145888944444484,0.0,0.2445879858333333,0.7513609,FM,0.7513609,1,False,0.37568045
mp-8772,ScB12,Fm-3m,-0.21114609192307598,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1096797,HgB6,Pm-3m,0.40558803999999987,0.0,0.4055880399999925,0.0003885,NM,0.0003885,0,True,6.475e-05
mp-1929,NdB6,Pm-3m,-0.4753213203571422,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1190213,ReB4,P6_3/mmc,0.5578862046666672,0.0,0.8145960863333368,8.15e-05,NM,2.0375e-05,0,True,5.09375e-06
mp-451,ZrB,Fm-3m,-0.37374908458333334,0.0,0.36676942999999973,0.0008305,NM,0.0008305,0,False,0.0008305
mp-1186020,Na3B,Fm-3m,0.8400389027945405,0.0,0.8574022788318965,0.5383943,NM,0.5383943,0,True,0.5383943
mp-1060281,BN,I4/mmm,-0.6558043470833326,3.5086,0.8055756825000007,0.0,NM,0.0,0,True,0.0
mp-1191193,BiB5,P-1,1.1820314881944451,0.0,1.1820314881944451,1.2975957,FM,0.324398925,2,False,0.064879785
mp-27820,B7H10,P2_12_12_1,-0.15493867105392248,2.5117,0.03199152802138894,2.77e-05,NM,3.4625e-06,0,False,4.946428571428571e-07
mp-2192,BPt,P6_3/mmc,0.07020437541666791,0.0,0.20188345020834042,0.0027082,NM,0.0013541,0,True,0.0013541
mp-1183580,Cd3B,I4/mmm,0.8491517252083338,0.0,0.8491517252083338,0.0002952,NM,0.0002952,0,True,0.0002952
mp-1103476,DyB12,Fm-3m,-0.25008072923076863,0.0,0.0,1e-07,NM,1e-07,0,False,8.333333333333334e-09
mp-1063752,BRh,P6_3/mmc,-0.16441207958333237,0.0,0.21355027500000023,3.68e-05,NM,1.84e-05,0,False,1.84e-05
mp-21502,BRh2,Pnma,-0.19308788138888744,0.0,0.07446695583333263,0.0018983,NM,0.000474575,0,False,0.000474575
mp-1196893,B3Pd16,C2/c,-0.20859720671052623,0.0,0.002347663157894253,1e-07,NM,5e-08,0,True,1.6666666666666667e-08
mp-1226103,Co4B,Pm,-0.10412599583333322,0.0,0.05670506599999925,15.6448602,FM,5.2149534,12,True,5.2149534
mp-2501,BMo2,I4/mcm,-0.31649893305555565,0.0,0.01832427999999986,1e-07,NM,5e-08,0,False,5e-08
mp-580,PuB2,P6/mmm,-0.4013453227777776,0.0,0.019714249583332233,4.0148694,FM,4.0148694,1,False,2.0074347
mp-1915,Fe2B,I4/mcm,-0.30749344472222145,0.0,0.0,9.2991168,FM,4.6495584,4,False,4.6495584
mp-29721,B3H5,Cmc2_1,-0.14642635281250005,3.8726000000000003,0.03827108490055853,0.0,NM,0.0,0,False,0.0
mp-1183667,B4H5,P2_1/c,-0.17237896831018495,2.8507,0.01633071043404577,0.0001685,NM,1.053125e-05,0,True,2.6328125e-06
mp-619,UB4,P4/mbm,-0.5080195338333325,0.0,0.0,0.0012504,NM,0.0003126,0,False,7.815e-05
mp-1188836,V5B3,I4/mcm,-0.6196104809375012,0.0,0.057914717187498965,0.000793,NM,0.0003965,0,True,0.00013216666666666666
mp-1087495,Tc3B,Cmcm,-0.26816822854166666,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-2252,ScB2,P6/mmm,-0.8388382277777767,0.0,0.0,4e-07,NM,4e-07,0,False,2e-07
mp-758933,B8O,C2/m,-0.6004884509722227,2.3536,0.0259760522222221,3.52e-05,NM,5.866666666666667e-06,0,True,7.333333333333333e-07
mp-1002188,TcB,P-6m2,-0.28240139708333345,0.0,0.10273136659091264,0.0020834,NM,0.0020834,0,True,0.0020834
mp-1104127,NiB12,Fm-3m,0.2567024369230768,0.0,0.29440814658653824,0.0167731,FM,0.0167731,1,False,0.0013977583333333332
mp-1113,BW2,I4/mcm,-0.26186354305555426,0.0,0.0,1.07e-05,NM,5.35e-06,0,False,5.35e-06
mp-1238821,Si3B,Pm-3m,0.9601961827083336,0.0,0.9736054995833339,3.64e-05,NM,3.64e-05,0,True,3.64e-05
mp-1104594,B5Mo2,P6_3/mmc,0.42740299845238133,0.0,0.7974495308333358,0.0001779,NM,8.895e-05,0,True,1.7789999999999997e-05
mp-542758,Fe23B6,Fm-3m,-0.1692901963793106,0.0,0.021567803793102414,57.7233324,FiM,57.7233324,29,True,9.620555399999999
mp-1244943,BN,P1,-0.8046508615833329,1.1885,0.6567291680000018,0.0036734,NM,7.3468e-05,0,True,7.3468e-05
mp-1228630,B13P,R3m,-0.026279870178570825,0.0,0.1188482147023846,0.0045421,NM,0.0045421,0,True,0.00034939230769230774
mp-983230,Ga3B,Pm-3m,0.7340981970833336,0.0,0.7340981970833336,0.0002588,NM,0.0002588,0,True,0.0002588
mp-640067,Ni4B3,Pnma,-0.28009955749999954,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1002184,TcB,F-43m,0.7205519029166663,0.0,1.1056846665909124,0.0047319,NM,0.0047319,0,True,0.0047319
mp-1002187,TcB,Fm-3m,-0.0077713770833334195,0.0,0.3773613865909127,0.0454974,NM,0.0454974,0,True,0.0454974
mp-568225,TbB4,P4/mbm,-0.5994054473333321,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1222698,Li2B,P-3m1,0.3666713613888894,0.0,0.4772190655555555,0.0004644,NM,0.0004644,0,True,0.0004644
mp-20857,CoB,Pnma,-0.40207765458333355,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-979412,Th3B,Pm-3m,0.5423116552083327,0.0,0.7365214943750003,0.0009024,NM,0.0009024,0,True,0.0009024
mp-16726,LiB,Pnma,-0.09510223875000001,0.0,0.07071931750000005,9.6e-06,NM,2.4e-06,0,True,2.4e-06
mp-568748,Fe2B,P4/mmm,0.06611073027777792,0.0,0.37360417499999965,4.1161196,FM,4.1161196,2,True,4.1161196
mp-2653,BN,P6_3mc,-1.3666759095833338,5.1975999999999996,0.09470411999999939,8.59e-05,NM,4.295e-05,0,False,4.295e-05
mp-1184351,Ga3B,P6_3/mmc,0.5120426958333337,0.0,0.5120426958333337,4.87e-05,NM,2.435e-05,0,True,2.435e-05
mp-2315,NaB15,Imma,-0.05005918494073214,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-2680,LaB6,Pm-3m,-0.5622244371428563,0.0,0.0,1.5e-06,NM,1.5e-06,0,False,2.5e-07
mp-1184555,Ge3B,Fm-3m,0.9841349989583339,0.0,0.9841349989583339,0.0004714,NM,0.0004714,0,True,0.0004714
mp-28893,ReB,I4_1/amd,0.012789601666666428,0.0,0.3508577327499953,0.0002117,NM,2.64625e-05,0,False,2.64625e-05
mp-717,B2O3,Cmc2_1,-2.7731687479166665,8.3751,0.02565093833333343,0.0,NM,0.0,0,False,0.0
mp-1180507,LiB11,R3m,0.12937937965277868,0.0,0.20839703847222246,0.0001083,NM,0.0001083,0,True,9.845454545454546e-06
mp-1004756,NdB12,Fm-3m,-0.20622647057692234,0.0,0.049715778846153746,0.0,NM,0.0,0,True,0.0
mp-1228640,B12S,R3m,-0.018737657163461343,1.7964000000000002,0.07553982990085562,2.37e-05,NM,2.37e-05,0,True,1.975e-06
mp-576,B13C2,R-3m,-0.07156648161111055,0.0,0.0,2e-07,NM,2e-07,0,False,1.5384615384615385e-08
mp-706664,B10H13,P2_1/c,-0.18270515007246316,3.3079,0.005489127574728414,0.4177822,NM,0.052222775,0,False,0.0052222775
mp-569270,V3B4,Immm,-0.8187663323809521,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1472,ZrB2,P6/mmm,-0.9873580194444441,0.0,0.0,1e-07,NM,1e-07,0,False,5e-08
mp-1216517,V3B100,P222,-0.03176638482200603,0.0,0.03279329386731433,0.0001475,NM,0.0001475,0,True,1.475e-06
mp-1014246,ZrB,P6_3/mmc,-0.4109183720833327,0.0,0.32960014250000036,0.0012339,NM,0.00061695,0,True,0.00061695
mp-1083,NpB2,P6/mmm,-0.40796764569444477,0.0,0.0,2.8991862,FM,2.8991862,1,False,1.4495931
mp-1105976,LiB9,P6_3cm,0.036067661416667104,0.0,0.1308888520000009,0.0002623,NM,0.00013115,0,True,1.457222222222222e-05
mp-29292,B10H13,I4_1cd,-0.18264132507246328,3.3318000000000003,0.005552952574728209,1.11e-05,NM,1.3875e-06,0,False,1.3875e-07
mp-1103613,LiB11,F-43m,0.26385270215277856,0.0,0.34287036097222234,0.0002252,NM,0.0002252,0,True,2.0472727272727274e-05
mp-1104892,PuB12,Fm-3m,-0.2609394730769222,0.0,0.0,4.4623935,FM,4.4623935,1,False,0.371866125
mp-29783,B5H9,P4_1,-0.16383931738095267,5.9591,0.01977363624189099,0.0,NM,0.0,0,False,0.0
mp-29651,B4W,P6_3/mmc,0.40107770766666706,0.0,0.6008436473333374,0.0015609,NM,0.000390225,0,False,9.755625e-05
mp-10681,B2Au,P6/mmm,0.6686477705555559,0.0,0.6686477705555545,1.7e-06,NM,1.7e-06,0,False,8.5e-07
mp-1077788,BPt2,P6_3/mmc,-0.17557209972222174,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-2765,PuB,Fm-3m,0.5020033604166674,0.0,0.8177980396874993,5.0944544,FM,5.0944544,1,False,5.0944544
mp-1228665,BPd5,I4/mmm,-0.08520945486111013,0.0,0.13249513083333397,0.0006004,NM,0.0006004,0,True,0.0006004
mp-1245185,B2O3,P1,-2.6903779306166666,4.0799,0.1084417556333328,0.0,NM,0.0,0,True,0.0
mp-1079348,B3Os2,P6_3/mmc,-0.25357786049999903,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1067451,TcB,P6_3mc,4.132634945416666,1.3759999999999994,4.517767709090912,3.9989475,FiM,1.99947375,4,True,1.99947375
mp-1106346,B4Mo,P6_3/mmc,0.2732644386666678,0.0,0.5322970113333376,0.0226705,NM,0.005667625,0,False,0.00141690625
mp-1096829,BPt,P6_3/mmc,0.06202553291666746,0.0,0.19370460770833997,0.0015127,NM,0.00075635,0,False,0.00075635
mp-567926,B4Rh5,P6_3/mmc,-0.35673978296296205,0.0,0.0,1.38e-05,NM,6.9e-06,0,False,1.725e-06
mp-9973,VB,Cmcm,-0.8471857795833335,0.0,0.0,1e-07,NM,5e-08,0,False,5e-08
mp-995182,NdB4,Immm,0.561272125166667,0.0,1.1228151089999994,0.0001977,NM,0.0001977,0,True,4.9425e-05
mp-1061023,RbB,Fm-3m,2.172314421666667,0.0,2.172314421666667,0.0498556,NM,0.0498556,0,False,0.0498556
mp-32715,B36O5,P-1,-0.6710977000914629,2.3416000000000006,0.01648529121951281,0.0037281,NM,0.00186405,0,True,5.177916666666667e-05
mp-27896,BF3,P-1,-3.112166153854166,8.1347,0.00016468874999997496,0.0,NM,0.0,0,False,0.0
mp-7424,BPd2,Pnnm,-0.266144823055555,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1001835,LiB,P6_3/mmc,-0.16582155625000006,0.0,0.0,2e-07,NM,1e-07,0,False,1e-07
mp-696597,B5H9,I4mm,-0.16328339434523848,5.709300000000001,0.020329559277605824,0.0,NM,0.0,0,False,0.0
mp-569655,BN,P2_1/c,-1.1402124070833324,3.5892000000000004,0.32116762250000086,9.37e-05,NM,2.3425e-05,0,True,2.3425e-05
mp-1542,YB2,P6/mmm,-0.5636299249999995,0.0,0.0,2e-06,NM,2e-06,0,False,1e-06
mp-1228685,B8O,Cm,-0.6044022391203706,2.2645,0.022062264074073745,0.0,NM,0.0,0,True,0.0
mp-637,YB4,P4/mbm,-0.5877031486666666,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1079046,BC7,Pmm2,0.23176338729166623,0.0,0.24744227627604154,0.0016538,NM,0.0016538,0,True,0.0016538
mp-20318,Mn2B,I4/mcm,-0.3969210933429122,0.0,0.0,0.0093246,AFM,0.0046623,4,False,0.0046623
mp-505535,B8Ru11,Pbam,-0.14117585122806986,0.0,0.09158099543859421,0.0003163,NM,0.00015815,0,False,1.976875e-05
mp-1244991,BN,P1,-0.7184967577833333,1.5503,0.7428832718000002,0.0053195,NM,0.00010638999999999999,0,True,0.00010638999999999999
mp-1004753,PrB12,Fm-3m,-0.19057393807692227,0.0,0.06963110730769184,0.000629,NM,0.000629,0,True,5.241666666666667e-05
mp-19984,TbB4,P4/mbm,0.5402951576666674,0.0,1.139700604999999,0.0013189,NM,0.000329725,0,True,8.243125e-05
mp-27990,B2H5,P2_1/c,-0.17927501726190442,6.2615,0.0,0.0,NM,0.0,0,False,0.0
mp-2057,DyB2,P6/mmm,-0.5613357794444447,0.0,0.0,3.1e-06,NM,3.1e-06,0,False,1.55e-06
mp-1080576,LiB,Pmma,0.45371999500000015,0.0,0.6195415512500002,1.2033474,NM,0.30083685,0,True,0.30083685
mp-2331,B2Mo,R-3m,-0.4317209544444438,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-1774,ErB2,P6/mmm,-0.6221119461111115,0.0,0.0,4.7e-06,NM,4.7e-06,0,False,2.35e-06
mp-2203,YB6,Pm-3m,-0.39956591595238067,0.0,0.028522829285715368,0.0,NM,0.0,0,False,0.0
mp-1184725,Hg3B,P2_1/m,1.0553065914583333,0.0,1.0553065914583333,0.0003833,NM,0.00019165,0,True,0.00019165
mp-2058,Ni3B,Pnma,-0.2628471747916663,0.0,0.0,1e-07,NM,2.5e-08,0,False,2.5e-08
mp-30935,B17F27,P-1,-2.3947218658712113,4.5644,0.1517306417140203,0.0005543,NM,0.00027715,0,False,1.6302941176470588e-05
mp-15671,Re3B,Cmcm,-0.20339562354166674,0.0,0.0,2e-07,NM,1e-07,0,False,1e-07
mp-27710,CrB4,Immm,-0.30302774933333154,0.13060000000000027,0.006000174000000413,1e-07,NM,1e-07,0,False,2.5e-08
mp-1076,KB6,Pm-3m,-0.026349619714285462,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-851576,B84O11,P1,2.58696793793421,0.0,3.2398098938947366,0.016587,NM,0.016587,0,True,0.00019746428571428573
mp-763,MgB2,P6/mmm,-0.13035529611111052,0.0,0.0,1e-07,NM,1e-07,0,False,5e-08
mp-1009823,BeB2,P6/mmm,0.1202282555555551,0.0,0.127193730069445,0.0004941,NM,0.0004941,0,True,0.00024705
mp-1514,UB2,P6/mmm,-0.5841753627777777,0.0,0.0,1.1784996,FM,1.1784996,1,False,0.5892498
mp-1187526,Tl3B,Pm-3m,1.0007761527083336,0.0,1.0007761527083336,0.0009988,NM,0.0009988,0,True,0.0009988
mp-1186025,Na3B,I4/mmm,0.8423500152945405,0.0,0.8597133913318964,0.1320833,NM,0.1320833,0,True,0.1320833
mp-614006,B2O,P-3m1,-0.7114378190277778,0.0,0.9245854276388883,9.6e-06,NM,4.8e-06,0,True,2.4e-06
mp-10144,B2W,P6/mmm,-0.07543287277777704,0.0,0.25751036000000127,0.0004338,NM,0.0004338,0,False,0.0002169
mp-1101938,FeB2,Pnma,-0.29604687527777784,0.5153999999999996,0.0,0.0008397,NM,0.000209925,0,True,0.0001049625
mp-16713,Pr2B5,C2/c,-0.48833485654761893,0.0,0.0,1.0292141,FM,0.257303525,4,False,0.051460704999999995
mp-6996,SmB6,Pm-3m,-0.45499952428571383,0.0,0.0,0.0,NM,0.0,0,False,0.0
mp-21343,CeB6,Pm-3m,-0.5155952042857146,0.0,0.0,1.0063901,FM,1.0063901,1,False,0.16773168333333333
mp-1008559,BP,P6_3mc,-0.39618678374999927,1.0624000000000002,0.011300877500000084,0.0,NM,0.0,0,False,0.0
